Jurisdiction,Value,Race/ ethnicity,Year,Measure
Anne Arundel,54.0,Black Non-Hispanic,2015,Physical activity
Baltimore City,46.9,Black Non-Hispanic,2015,Physical activity
Baltimore County,55.2,Black Non-Hispanic,2015,Physical activity
Calvert,,Black Non-Hispanic,2015,Physical activity
Caroline,,Black Non-Hispanic,2015,Physical activity
Carroll,,Black Non-Hispanic,2015,Physical activity
Cecil,,Black Non-Hispanic,2015,Physical activity
Charles,60.5,Black Non-Hispanic,2015,Physical activity
Dorchester,,Black Non-Hispanic,2015,Physical activity
Frederick,,Black Non-Hispanic,2015,Physical activity
Garrett,,Black Non-Hispanic,2015,Physical activity
Harford,,Black Non-Hispanic,2015,Physical activity
Howard,,Black Non-Hispanic,2015,Physical activity
Kent,,Black Non-Hispanic,2015,Physical activity
Montgomery,48.9,Black Non-Hispanic,2015,Physical activity
Prince George's,51.3,Black Non-Hispanic,2015,Physical activity
Queen Anne's,,Black Non-Hispanic,2015,Physical activity
Saint Mary's,,Black Non-Hispanic,2015,Physical activity
Somerset,,Black Non-Hispanic,2015,Physical activity
Talbot,,Black Non-Hispanic,2015,Physical activity
Washington,,Black Non-Hispanic,2015,Physical activity
Wicomico,,Black Non-Hispanic,2015,Physical activity
Worcester,,Black Non-Hispanic,2015,Physical activity
State,51.2,Hispanic,2015,Physical activity
Allegany,,Hispanic,2015,Physical activity
Anne Arundel,,Hispanic,2015,Physical activity
Baltimore City,,Hispanic,2015,Physical activity
Baltimore County,,Hispanic,2015,Physical activity
Calvert,,Hispanic,2015,Physical activity
Caroline,,Hispanic,2015,Physical activity
Carroll,,Hispanic,2015,Physical activity
Cecil,,Hispanic,2015,Physical activity
Charles,,Hispanic,2015,Physical activity
Dorchester,,Hispanic,2015,Physical activity
Frederick,,Hispanic,2015,Physical activity
Garrett,,Hispanic,2015,Physical activity
Harford,,Hispanic,2015,Physical activity
Howard,,Hispanic,2015,Physical activity
Kent,,Hispanic,2015,Physical activity
Montgomery,60.5,Hispanic,2015,Physical activity
Prince George's,,Hispanic,2015,Physical activity
Queen Anne's,,Hispanic,2015,Physical activity
Saint Mary's,,Hispanic,2015,Physical activity
Somerset,,Hispanic,2015,Physical activity
Talbot,,Hispanic,2015,Physical activity
Washington,,Hispanic,2015,Physical activity
Wicomico,,Hispanic,2015,Physical activity
Worcester,,Hispanic,2015,Physical activity
State,55.0,White Non-Hispanic,2015,Physical activity
Allegany,52.4,White Non-Hispanic,2015,Physical activity
Anne Arundel,56.2,White Non-Hispanic,2015,Physical activity
Baltimore City,55.4,White Non-Hispanic,2015,Physical activity
Baltimore County,51.9,White Non-Hispanic,2015,Physical activity
Calvert,54.7,White Non-Hispanic,2015,Physical activity
Caroline,49.4,White Non-Hispanic,2015,Physical activity
Carroll,51.1,White Non-Hispanic,2015,Physical activity
Cecil,53.8,White Non-Hispanic,2015,Physical activity
Charles,63.8,White Non-Hispanic,2015,Physical activity
Dorchester,51.6,White Non-Hispanic,2015,Physical activity
Frederick,47.9,White Non-Hispanic,2015,Physical activity
Garrett,48.1,White Non-Hispanic,2015,Physical activity
Harford,52.7,White Non-Hispanic,2015,Physical activity
Howard,62.5,White Non-Hispanic,2015,Physical activity
Kent,51.6,White Non-Hispanic,2015,Physical activity
Montgomery,61.0,White Non-Hispanic,2015,Physical activity
Prince George's,63.8,White Non-Hispanic,2015,Physical activity
Queen Anne's,51.3,White Non-Hispanic,2015,Physical activity
Saint Mary's,46.2,White Non-Hispanic,2015,Physical activity
Somerset,63.0,White Non-Hispanic,2015,Physical activity
Talbot,59.0,White Non-Hispanic,2015,Physical activity
Washington,48.7,White Non-Hispanic,2015,Physical activity
Wicomico,53.5,White Non-Hispanic,2015,Physical activity
Worcester,49.6,White Non-Hispanic,2015,Physical activity
State,55.4,Asian Non-Hispanic,2015,Physical activity
Allegany,,Asian Non-Hispanic,2015,Physical activity
Anne Arundel,,Asian Non-Hispanic,2015,Physical activity
Baltimore City,,Asian Non-Hispanic,2015,Physical activity
Baltimore County,,Asian Non-Hispanic,2015,Physical activity
Calvert,,Asian Non-Hispanic,2015,Physical activity
Caroline,,Asian Non-Hispanic,2015,Physical activity
Carroll,,Asian Non-Hispanic,2015,Physical activity
Cecil,,Asian Non-Hispanic,2015,Physical activity
Charles,,Asian Non-Hispanic,2015,Physical activity
Dorchester,,Asian Non-Hispanic,2015,Physical activity
Frederick,,Asian Non-Hispanic,2015,Physical activity
Garrett,,Asian Non-Hispanic,2015,Physical activity
Harford,,Asian Non-Hispanic,2015,Physical activity
Howard,,Asian Non-Hispanic,2015,Physical activity
Kent,,Asian Non-Hispanic,2015,Physical activity
Montgomery,50.3,Asian Non-Hispanic,2015,Physical activity
Prince George's,,Asian Non-Hispanic,2015,Physical activity
Queen Anne's,,Asian Non-Hispanic,2015,Physical activity
Saint Mary's,,Asian Non-Hispanic,2015,Physical activity
Somerset,,Asian Non-Hispanic,2015,Physical activity
Talbot,,Asian Non-Hispanic,2015,Physical activity
Washington,,Asian Non-Hispanic,2015,Physical activity
Wicomico,,Asian Non-Hispanic,2015,Physical activity
Worcester,,Asian Non-Hispanic,2015,Physical activity
State,48.0,All races/ ethnicities (aggregated),2013,Physical activity
Allegany,41.2,All races/ ethnicities (aggregated),2013,Physical activity
