Jurisdiction,Value,Race/ ethnicity,Year,Measure
Washington,34.4,White Non-Hispanic,2011,Weight
Wicomico,29.8,White Non-Hispanic,2011,Weight
Worcester,41.5,White Non-Hispanic,2011,Weight
State,61.8,Asian Non-Hispanic,2011,Weight
Montgomery,54.6,Asian Non-Hispanic,2011,Weight
State,33.5,All races/ ethnicities (aggregated),2018,Adults who are not overweight or obese
Allegany,23.8,All races/ ethnicities (aggregated),2018,Adults who are not overweight or obese
Anne Arundel,33.0,All races/ ethnicities (aggregated),2018,Adults who are not overweight or obese
Baltimore County,36.5,All races/ ethnicities (aggregated),2018,Adults who are not overweight or obese
Calvert,31.3,All races/ ethnicities (aggregated),2018,Adults who are not overweight or obese
Caroline,27.3,All races/ ethnicities (aggregated),2018,Adults who are not overweight or obese
Carroll,34.5,All races/ ethnicities (aggregated),2018,Adults who are not overweight or obese
Cecil,30.9,All races/ ethnicities (aggregated),2018,Adults who are not overweight or obese
Charles,26.5,All races/ ethnicities (aggregated),2018,Adults who are not overweight or obese
Dorchester,18.1,All races/ ethnicities (aggregated),2018,Adults who are not overweight or obese
Frederick,33.2,All races/ ethnicities (aggregated),2018,Adults who are not overweight or obese
Garrett,33.9,All races/ ethnicities (aggregated),2018,Adults who are not overweight or obese
Harford,29.1,All races/ ethnicities (aggregated),2018,Adults who are not overweight or obese
Howard,43.8,All races/ ethnicities (aggregated),2018,Adults who are not overweight or obese
Kent,17.5,All races/ ethnicities (aggregated),2018,Adults who are not overweight or obese
Montgomery,39.2,All races/ ethnicities (aggregated),2018,Adults who are not overweight or obese
Prince George's,28.2,All races/ ethnicities (aggregated),2018,Adults who are not overweight or obese
Queen Anne's,31.4,All races/ ethnicities (aggregated),2018,Adults who are not overweight or obese
Saint Mary's,24.2,All races/ ethnicities (aggregated),2018,Adults who are not overweight or obese
Somerset,29.3,All races/ ethnicities (aggregated),2018,Adults who are not overweight or obese
Talbot,37.9,All races/ ethnicities (aggregated),2018,Adults who are not overweight or obese
Washington,32.7,All races/ ethnicities (aggregated),2018,Adults who are not overweight or obese
Wicomico,34.5,All races/ ethnicities (aggregated),2018,Adults who are not overweight or obese
Worcester,24.4,All races/ ethnicities (aggregated),2018,Adults who are not overweight or obese
Baltimore City,32.3,All races/ ethnicities (aggregated),2018,Adults who are not overweight or obese
State,39.2,American Indian/Alaska Native Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Allegany,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Anne Arundel,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Baltimore County,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Calvert,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Adults who are not overweight or obese
